"","X.1","X","Year","Area","Street"
"112",112,112,2011,"Birmingham","Ladypool Str."
"113",113,113,2011,"Birmingham","Ladywell Walk"
"114",114,114,2011,"Birmingham","Lea Hall Rd"
"115",115,115,2011,"Birmingham","Lea Hall Rd"
"116",116,116,2011,"Birmingham","Lea Village  Stechford"
"117",117,117,2011,"Birmingham","Lenches Close  Mosley"
"118",118,118,2011,"Birmingham","Lime Tree Str."
"119",119,119,2011,"Birmingham","Lode Lane   Hermitage Str."
"120",120,120,2011,"Birmingham","Long Str."
"121",121,121,2011,"Birmingham","Long Str.  Sparkhill"
"122",122,122,2011,"Birmingham","Longbridge Lane"
"123",123,123,2011,"Birmingham","Longmeadow Crescent Shard End   Bham"
"124",124,124,2011,"Birmingham","Maccadown Lane"
"125",125,125,2011,"Birmingham","Masshouse Lane"
"126",126,126,2011,"Birmingham","Meadwaym Stechford"
"127",127,127,2011,"Birmingham","Mickleover Str.  Bromford"
"128",128,128,2011,"Birmingham","Moorcroft Str."
"129",129,129,2011,"Birmingham","Moseley Str."
"130",130,130,2011,"Birmingham","Moseley Str."
"131",131,131,2011,"Birmingham","Moseley Str."
"132",132,132,2011,"Birmingham","Moseley Str."
"133",133,133,2011,"Birmingham","Moseley Village"
"134",134,134,2011,"Birmingham","Moseley Village"
"135",135,135,2011,"Birmingham","Moseley Village  Alcester Str."
"136",136,136,2011,"Birmingham","Mosley All Services Club  Church Str.  Moseley "
"137",137,137,2011,"Birmingham","Nearlands Close Quinton"
"138",138,138,2011,"Birmingham","New Str."
"139",139,139,2011,"Birmingham","Northfield High Str."
"140",140,140,2011,"Birmingham","O S Behans  Highfield Str.  Billesley"
"141",141,141,2011,"Birmingham","O S The Junction  Mosley Village"
"142",142,142,2011,"Birmingham","O S Washwood Heath Str."
"143",143,143,2011,"Birmingham","Oakhill Str.  Acocks Green"
"144",144,144,2011,"Birmingham","Opp White Hart Lane Cooks Lane"
"145",145,145,2011,"Birmingham","Opposite  Aldi  Stratford Str."
"146",146,146,2011,"Birmingham","Outside Java Lounge Alcester Str."
"147",147,147,2011,"Birmingham","Outside O2 Academy Night Club B Ham City Centre"
"148",148,148,2011,"Birmingham","Outside Raven Public House"
"149",149,149,2011,"Birmingham","Packington Ave.  Shard End"
"150",150,150,2011,"Birmingham","Park Off Hob Moor Str."
"151",151,151,2011,"Birmingham","Parkhall Croft"
"152",152,152,2011,"Birmingham","Pear Tree Ph"
"153",153,153,2011,"Birmingham","Police Station"
"154",154,154,2011,"Birmingham","Police Station Stechford"
"155",155,155,2011,"Birmingham","Poplar Str."
"156",156,156,2011,"Birmingham","Poplar Str."
"157",157,157,2011,"Birmingham","Poplar Str.   Solihull"
"158",158,158,2011,"Birmingham","Poplar Str.  Solihull"
"159",159,159,2011,"Birmingham","Preston Str."
"160",160,160,2011,"Birmingham","Priory Str.  Hall Green"
"161",161,161,2011,"Birmingham","Prospect Str."
"162",162,162,2011,"Birmingham","Queenswood Str."
"163",163,163,2011,"Birmingham","Rear Of Boots  High Str."
"164",164,164,2011,"Birmingham","Reddings Lane  Tsyley"
"165",165,165,2011,"Birmingham","Richmond Primary Care Centre  Richmond Str.  Stechford"
"166",166,166,2011,"Birmingham","Ring Str.  Stourbridge"
"167",167,167,2011,"Birmingham","Sainsburys  Wawrick Str."
"168",168,168,2011,"Birmingham","Sainsburys  Alcester Str. South"
"169",169,169,2011,"Birmingham","Sandford Str. Moseley"
"170",170,170,2011,"Birmingham","Sarehole Mill"
"171",171,171,2011,"Birmingham","Sedgemere Str."
"172",172,172,2011,"Birmingham","Shirley Str."
"173",173,173,2011,"Birmingham","Shirley Str."
"174",174,174,2011,"Birmingham","Snow Hill"
"175",175,175,2011,"Birmingham","Solihull Lane"
"176",176,176,2011,"Birmingham","St Mary S Str.  Moseley"
"177",177,177,2011,"Birmingham","St Marys Row"
"178",178,178,2011,"Birmingham","Station Str."
"179",179,179,2011,"Birmingham","Station Way  Birmingham International Rail Station"
"180",180,180,2011,"Birmingham","Stechford Front Office"
"181",181,181,2011,"Birmingham","Stechford P S "
"182",182,182,2011,"Birmingham","Stechford Retail Park "
"183",183,183,2011,"Birmingham","Stonehenge Croft Druids Heath"
"184",184,184,2011,"Birmingham","Stoney Lane"
"185",185,185,2011,"Birmingham","Stoney Lane"
"186",186,186,2011,"Birmingham","Stoney Lane"
"187",187,187,2011,"Birmingham","Stratford Heath  Spark Hill  Birmingham"
"188",188,188,2011,"Birmingham","Stratford Str."
"189",189,189,2011,"Birmingham","Stratford Str."
"190",190,190,2011,"Birmingham","Stratford Str."
"191",191,191,2011,"Birmingham","Stratford Str.  Hall Green"
"192",192,192,2011,"Birmingham","Stratford Str.s"
"193",193,193,2011,"Birmingham","Stuart Str.  Stechford"
"194",194,194,2011,"Birmingham","Talbort Str."
"195",195,195,2011,"Birmingham","Taunton Str."
"196",196,196,2011,"Birmingham","Tavistock Str."
"197",197,197,2011,"Birmingham","The Ave."
"198",198,198,2011,"Birmingham","The Paer Tree Pub"
"199",199,199,2011,"Birmingham","Trafalger Str."
"200",200,200,2011,"Birmingham","Wake Green Str."
"201",201,201,2011,"Birmingham","Ward End Str."
"202",202,202,2011,"Birmingham","Warwick Str."
"203",203,203,2011,"Birmingham","Warwick Str."
"204",204,204,2011,"Birmingham","Warwick Str."
"205",205,205,2011,"Birmingham","Warwick Str."
"206",206,206,2011,"Birmingham","Warwick Str."
"207",207,207,2011,"Birmingham","Warwick Str. Tysley"
"208",208,208,2011,"Birmingham","Wash Lane"
"209",209,209,2011,"Birmingham","Washford Heath Str."
"210",210,210,2011,"Birmingham","Washwood Heath Pub"
"211",211,211,2011,"Birmingham","Washwood Heath Rd  Washwood Heath  Bham"
"212",212,212,2011,"Birmingham","Washwood Heath Str."
"213",213,213,2011,"Birmingham","Washwood Heath Str."
"214",214,214,2011,"Birmingham","Washwood Heath Str."
"215",215,215,2011,"Birmingham","Washwood Heath Str."
"216",216,216,2011,"Birmingham","Watery Lane Middleway  Birmingham"
"217",217,217,2011,"Birmingham","Wawrick Str."
"218",218,218,2011,"Birmingham","Welshfarm Str.  Quinton"
"219",219,219,2011,"Birmingham","Westley Str."
"220",220,220,2011,"Birmingham","Westley Str.  Acocks Green"
"221",221,221,2011,"Birmingham","White Hart Public House"
"222",222,222,2011,"Birmingham","White Hart Public House"
"223",223,223,2011,"Birmingham","Whiteheart Pub  Gressell Lane"
"224",224,224,2011,"Birmingham","William Hill Bookmakers  Washwood Heath Str."
"225",225,225,2011,"Birmingham","William Hill Bookmakers  Washwood Heath Str."
"226",226,226,2011,"Birmingham","William Hill Washwood Heath Str."
"227",227,227,2011,"Birmingham","Windward Str."
"228",228,228,2011,"Birmingham","Windward Str."
"229",229,229,2011,"Birmingham","Wood End Str.  Erdington"
"230",230,230,2011,"Birmingham","Woodbridge Str.  Moseley"
"231",231,231,2011,"Birmingham","Wright Str."
"232",232,232,2011,"Birmingham","Yardley Green Str."
"233",233,233,2011,"Birmingham","Yardley Str. Acocks Green"
"234",234,234,2011,"Birmingham","Yardley Wood Str."
"235",235,235,2011,"Birmingham","Yardley Wood Str."
"236",236,236,2011,"Birmingham","Yew Tree Car Park"
"237",237,237,2011,"Birmingham","Yew Tree Lane"
"238",238,238,2011,"Birmingham","Yew Tree Public House Car Park "
"239",239,239,2011,"Birmingham","Armada Pub  Slade Str.  Erdington  Birmingham"
"240",240,240,2011,"Birmingham","Armarda Pub   Gravelly Hill"
"241",241,241,2011,"Birmingham","Armarda Pub  Gravelly Hill"
"242",242,242,2011,"Birmingham","Badgers Bank Str."
"243",243,243,2011,"Birmingham","Baldmoor Lake Str.  Erdington  Birmingham "
"244",244,244,2011,"Birmingham","Bandywood Rd  Kingstanding"
"245",245,245,2011,"Birmingham","Beckenham Str."
"246",246,246,2011,"Birmingham","Beeches Walk"
"247",247,247,2011,"Birmingham","Birmingham Rd"
"248",248,248,2011,"Birmingham","Birmingham Rd"
"249",249,249,2011,"Birmingham","Birmingham Rd  Sc"
"250",250,250,2011,"Birmingham","Birmingham Str."
"251",251,251,2011,"Birmingham","Birmingham Str."
"252",252,252,2011,"Birmingham","Birmingham Str. Sutton"
"253",253,253,2011,"Birmingham","Birmingham Str.  Erdington"
"254",254,254,2011,"Birmingham","Birmingham Str.  Sutton Coldfield"
"255",255,255,2011,"Birmingham","Birmingham Str.  Sutton Coldfield"
"256",256,256,2011,"Birmingham","Bowling Green Close"
"257",257,257,2011,"Birmingham","Bracebridge Str.  Erdington"
"258",258,258,2011,"Birmingham","Brassington Ave."
"259",259,259,2011,"Birmingham","Bromford Lane"
"260",260,260,2011,"Birmingham","Bromford Lane  Erdington  B Ham"
"261",261,261,2011,"Birmingham","Brookvale Park Str."
"262",262,262,2011,"Birmingham","Carhampton Str.  Falcon Lodge  Sutton Colfield"
"263",263,263,2011,"Birmingham","Carshalton Str."
"264",264,264,2011,"Birmingham","Carshorlton Str."
"265",265,265,2011,"Birmingham","Chester Rd"
"266",266,266,2011,"Birmingham","Chester Str."
"267",267,267,2011,"Birmingham","Chester Str.  Halls Garden Centre"
"268",268,268,2011,"Birmingham","Church Rd At Chester Rd"
"269",269,269,2011,"Birmingham","College Str.  Kingstanding  B Ham"
"270",270,270,2011,"Birmingham","College Str.  Kingstanding  B Ham"
"271",271,271,2011,"Birmingham","Copshill Court  Mount View  Sutton Coldfield"
"272",272,272,2011,"Birmingham","Dovedale Str.  Erdington  B Ham"
"273",273,273,2011,"Birmingham","Downside Str.  Erdington  B Ham"
"274",274,274,2011,"Birmingham","Eachelhurt Str.  Erdington"
"275",275,275,2011,"Birmingham","Erdington Hall Str."
"276",276,276,2011,"Birmingham","Erdington Hall Str."
"277",277,277,2011,"Birmingham","Erdington High Str."
"278",278,278,2011,"Birmingham","Fentham Str.  Erdington  B Ham"
"279",279,279,2011,"Birmingham","Finchley Str."
"280",280,280,2011,"Birmingham","Finchley Str.  Kingstanding  B Ham"
"281",281,281,2011,"Birmingham","George Frederick Str."
"282",282,282,2011,"Birmingham","Golden Pond Take Away       Boldmere Str."
"283",283,283,2011,"Birmingham","Good Hope Hospital"
"284",284,284,2011,"Birmingham","Gracechurch Centre"
"285",285,285,2011,"Birmingham","Gracechurch Centre  Outside Supercigs"
"286",286,286,2011,"Birmingham","Gracechurch Shopping Centre  Sutton Coldfield"
"287",287,287,2011,"Birmingham","Grassed Area   Pype Hayes Park    "
"288",288,288,2011,"Birmingham","Gravelley Lane"
"289",289,289,2011,"Birmingham","Gravelley Lane"
"290",290,290,2011,"Birmingham","Gravelley Lane"
"291",291,291,2011,"Birmingham","Gravelly Lane  Erdington  Birmingham"
"292",292,292,2011,"Birmingham","Hairy Lemon Pub  Sutton Coldfield"
"293",293,293,2011,"Birmingham","Hairy Lemon Pub  Sutton Coldfield"
"294",294,294,2011,"Birmingham","Hermatige Str."
"295",295,295,2011,"Birmingham","Hermatige Str."
"296",296,296,2011,"Birmingham","Hermitage Drive"
"297",297,297,2011,"Birmingham","High Str."
"298",298,298,2011,"Birmingham","High Str. Erdington"
"299",299,299,2011,"Birmingham","High Str.  Erdington"
"300",300,300,2011,"Birmingham","High Str.  Erdington"
"301",301,301,2011,"Birmingham","High Str.  S C"
"302",302,302,2011,"Birmingham","High Str.  S C"
"303",303,303,2011,"Birmingham","Hight St Erdington"
"304",304,304,2011,"Birmingham","Hunton Hill"
"305",305,305,2011,"Birmingham","Kfc Retail Outlet   Erdington High Str."
"306",306,306,2011,"Birmingham","Kingsbury Str.  Erdington  B Ham"
"307",307,307,2011,"Birmingham","Kingstanding Circle"
"308",308,308,2011,"Birmingham","Ladywell Walk  Birmingham"
"309",309,309,2011,"Birmingham","Landsdown Str."
"310",310,310,2011,"Birmingham","Lichfield Str.  Mere Green"
"311",311,311,2011,"Birmingham","Lichfield Str.  Sutton Coldfield"
"312",312,312,2011,"Birmingham","Lindridge Str.  Sutton Coldfield"
"313",313,313,2011,"Birmingham","Little Aston Lane"
"314",314,314,2011,"Birmingham","Longford Str."
"315",315,315,2011,"Birmingham","Longford Str.  Kingstanding  B Ham"
"316",316,316,2011,"Birmingham","Lower Parade"
"317",317,317,2011,"Birmingham","Lower Parade"
"318",318,318,2011,"Birmingham","Lower Parade"
"319",319,319,2011,"Birmingham","Lower Parade"
"320",320,320,2011,"Birmingham","Lower Parade"
"321",321,321,2011,"Birmingham","Lower Parade"
"322",322,322,2011,"Birmingham","Lower Parade"
"323",323,323,2011,"Birmingham","Lower Parade"
"324",324,324,2011,"Birmingham","Lower Parade"
"325",325,325,2011,"Birmingham","Lower Parade"
"326",326,326,2011,"Birmingham","Lower Parade"
"327",327,327,2011,"Birmingham","Lower Parade"
"328",328,328,2011,"Birmingham","Lower Parade"
"329",329,329,2011,"Birmingham","Lower Parade"
"330",330,330,2011,"Birmingham","Lower Parade"
"331",331,331,2011,"Birmingham","Lower Parade"
"332",332,332,2011,"Birmingham","Lower Parade"
"333",333,333,2011,"Birmingham","Lower Parade"
"334",334,334,2011,"Birmingham","Lower Parade"
"335",335,335,2011,"Birmingham","Lower Parade Sc"
"336",336,336,2011,"Birmingham","Lower Parade Sutton"
"337",337,337,2011,"Birmingham","Lower Parade Sutton Coldfield"
"338",338,338,2011,"Birmingham","Lower Parade "
"339",339,339,2011,"Birmingham","Lower Parade  Suton Coldfield"
"340",340,340,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"341",341,341,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"342",342,342,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"343",343,343,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"344",344,344,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"345",345,345,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"346",346,346,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"347",347,347,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"348",348,348,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"349",349,349,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"350",350,350,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"351",351,351,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"352",352,352,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"353",353,353,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"354",354,354,2011,"Birmingham","Lower Parade  Sutton Coldfield"
"355",355,355,2011,"Birmingham","Lower Parade  Sutton Coldfield Town Centre"
"356",356,356,2011,"Birmingham","Lower Parade  Sutton Coldfield Town Centre"
"357",357,357,2011,"Birmingham","Lower Parade  Sutton Coldfield "
"358",358,358,2011,"Birmingham","Lydham Close"
"359",359,359,2011,"Birmingham","Mill Str."
"360",360,360,2011,"Birmingham","Mill Str.  Sutton Coldfield"
"361",361,361,2011,"Birmingham","Moor Hall Hotel"
"362",362,362,2011,"Birmingham","Mulberry Court Carpark  Kings Str.  Kingstanding  Birmingham"
"363",363,363,2011,"Birmingham","Newhall Walk Car Park"
"364",364,364,2011,"Birmingham","Newhall Walk Car Park"
"365",365,365,2011,"Birmingham","O S H A"
"366",366,366,2011,"Birmingham","O S Litten Tree"
"367",367,367,2011,"Birmingham","O S Litten Tree  S C Town Centre"
"368",368,368,2011,"Birmingham","O S Moomoo Bar  S C Town Centre"
"369",369,369,2011,"Birmingham","O S Moomoo Bar  South Parade"
"370",370,370,2011,"Birmingham","O S Retro"
"371",371,371,2011,"Birmingham","O S Retro   South Parade"
"372",372,372,2011,"Birmingham","O S Retros"
"373",373,373,2011,"Birmingham","O S Royal Hotel  Lichfield Str."
"374",374,374,2011,"Birmingham","O S Temple Bar"
"375",375,375,2011,"Birmingham","O S Temple Bar"
"376",376,376,2011,"Birmingham","O S Temple Bar  High Str."
"377",377,377,2011,"Birmingham","O S Temple Bar  Lower Parade Sutton Coldfield "
"378",378,378,2011,"Birmingham","O S Temple Bar  S C Town Centre"
"379",379,379,2011,"Birmingham","O S Temple Bar  Sutton Coldfield  West Milands"
"380",380,380,2011,"Birmingham","O S The Hairy Lemon"
"381",381,381,2011,"Birmingham","On Pavement Outside The Royal Hotel"
"382",382,382,2011,"Birmingham","Ourtside Royal Pub  Lichfield Str.  Sutton Coldfield"
"383",383,383,2011,"Birmingham","Outside Glendale Tower  Lyndhurst Estate"
"384",384,384,2011,"Birmingham","Outside Litten Tree Pub  Birmingham Str.  Sutton Coldfield "
"385",385,385,2011,"Birmingham","Outside Moo Moo Club  Town Centre  Sutton Coldfield"
"386",386,386,2011,"Birmingham","Outside Moo Moo Night Club  South Parade"
"387",387,387,2011,"Birmingham","Outside Temple Parade  Lower Parade"
"388",388,388,2011,"Birmingham","Outside The Temple Bar  Lower Parade  Sc"
"389",389,389,2011,"Birmingham","Parade   Sutton Coldfield"
"390",390,390,2011,"Birmingham","Parade Sc"
"391",391,391,2011,"Birmingham","Parade Sutton Coldfield"
"392",392,392,2011,"Birmingham","Parade Sutton Coldfield"
"393",393,393,2011,"Birmingham","Parade Sutton Coldfield"
"394",394,394,2011,"Birmingham","Parade Sutton Town"
"395",395,395,2011,"Birmingham","Parade  Sutton Coldfield"
"396",396,396,2011,"Birmingham","Parade  Sutton Coldfield"
"397",397,397,2011,"Birmingham","Parade  Sutton Town Centre"
"398",398,398,2011,"Birmingham","Parkeston Crescent  Kinsgatnding  B Ham"
"399",399,399,2011,"Birmingham","Plants Grove Erdington"
"400",400,400,2011,"Birmingham","Pype Hayes Str.  Pype Hayes  B Ham"
"401",401,401,2011,"Birmingham","Pype Hayes Str.  Pype Hayes  B Ham"
"402",402,402,2011,"Birmingham","Pype Hayes Str.  Pype Hayes  B Ham"
"403",403,403,2011,"Birmingham","Queen Str."
"404",404,404,2011,"Birmingham","Queen Str."
"405",405,405,2011,"Birmingham","Queen Str."
"406",406,406,2011,"Birmingham","Queen Str."
"407",407,407,2011,"Birmingham","Queen Str. Sutton Coldfield Town Centre"
"408",408,408,2011,"Birmingham","Queslett Str. East"
"409",409,409,2011,"Birmingham","Redacre Rd Boldmere"
"410",410,410,2011,"Birmingham","Reservoir Str."
"411",411,411,2011,"Birmingham","Ridgeway"
"412",412,412,2011,"Birmingham","Slade Str.  Erdington  B Ham"
"413",413,413,2011,"Birmingham","Slade Str.  Erdington  B Ham"
"414",414,414,2011,"Birmingham","Soth Parade  Sutton Coldfield"
"415",415,415,2011,"Birmingham","Soth Parade  Sutton Coldfield"
"416",416,416,2011,"Birmingham","South Parade"
"417",417,417,2011,"Birmingham","South Parade"
"418",418,418,2011,"Birmingham","South Parade"
"419",419,419,2011,"Birmingham","South Parade"
"420",420,420,2011,"Birmingham","South Parade"
"421",421,421,2011,"Birmingham","South Parade"
"422",422,422,2011,"Birmingham","South Parade"
"423",423,423,2011,"Birmingham","South Parade"
"424",424,424,2011,"Birmingham","South Parade"
"425",425,425,2011,"Birmingham","South Parade"
"426",426,426,2011,"Birmingham","South Parade"
"427",427,427,2011,"Birmingham","South Parade"
"428",428,428,2011,"Birmingham","South Parade       Town Centre  Sutton Coldfield"
"429",429,429,2011,"Birmingham","South Parade Sutton Coldfield"
"430",430,430,2011,"Birmingham","South Parade Sutton Coldfield"
"431",431,431,2011,"Birmingham","South Parade Sutton Town Centre"
"432",432,432,2011,"Birmingham","South Parade  Sutton Coldfield"
"433",433,433,2011,"Birmingham","South Parade  Sutton Coldfield"
"434",434,434,2011,"Birmingham","South Parade  Sutton Coldfield"
"435",435,435,2011,"Birmingham","South Parade  Sutton Coldfield"
"436",436,436,2011,"Birmingham","South Parade  Sutton Coldfield"
"437",437,437,2011,"Birmingham","South Parade  Sutton Coldfield"
"438",438,438,2011,"Birmingham","South Parade  Sutton Coldfield"
"439",439,439,2011,"Birmingham","South Parade  Sutton Coldfield"
"440",440,440,2011,"Birmingham","South Parade  Sutton Coldfield"
"441",441,441,2011,"Birmingham","South Parade  Sutton Coldfield"
"442",442,442,2011,"Birmingham","South Parade  Sutton Coldfield"
"443",443,443,2011,"Birmingham","South Parade  Sutton Town Centre"
"444",444,444,2011,"Birmingham","South Parade  Town Centre  Sutton Coldfield"
"445",445,445,2011,"Birmingham","Stornaway Str. Castle Vale"
"446",446,446,2011,"Birmingham","Str.ley Str. Erdington"
"447",447,447,2011,"Birmingham","Sumburgh Croft"
"448",448,448,2011,"Birmingham","Sutton Coldfield Town Centre"
"449",449,449,2011,"Birmingham","Sutton Coldfield Town Centre"
"450",450,450,2011,"Birmingham","Sutton New Str."
"451",451,451,2011,"Birmingham","Sutton New Str. Erdington"
"452",452,452,2011,"Birmingham","Sutton New Str. Erdington"
"453",453,453,2011,"Birmingham","Sutton New Str. Erdington"
"454",454,454,2011,"Birmingham","Sutton New Str.  Erdington  B Ham"
"455",455,455,2011,"Birmingham","Sutton Parade"
"456",456,456,2011,"Birmingham","Sutton Parade"
"457",457,457,2011,"Birmingham","Sutton Parade"
"458",458,458,2011,"Birmingham","Sutton Town Centre"
"459",459,459,2011,"Birmingham","Sutton Town Centre"
"460",460,460,2011,"Birmingham","Sutton Town Centre"
"461",461,461,2011,"Birmingham","Sutton Town Centre"
"462",462,462,2011,"Birmingham","Sutton Town Centre"
"463",463,463,2011,"Birmingham","Tedbury Crescent"
"464",464,464,2011,"Birmingham","Tesco S Express  Walsall Str.  Four Oaks  Sutton Coldfield"
"465",465,465,2011,"Birmingham","The Parade"
"466",466,466,2011,"Birmingham","The Parade"
"467",467,467,2011,"Birmingham","The Parade"
